id;codigo;codigo_barra;nome;nome_resumido;grupo_produto_id;fornecedor_id;tipo;subtipo;tipo_combustivel;preco_unit;preco_prazo;unid_med;iat;ippt;tributacao;codigo_ncm;codigo_nbs;cst_pis;aliquota_pis;cst_cofins;aliquota_cofins;natureza_receita;cst_ipi_saida;cst_ipi_entrada;aliquota_ipi;custo_subst;uso_consumo;controlar_estoque;estoque_negativo;destaque_subst;exporta_inforlub;exporta_exchange_orcamento;codigo_cpbr;solicitacao_cpbr;situacao_cpbr;integrado_cpbr;saldo;codigo_anp;classificacao_fiscal;tipo_servico;favorito;sigla;paf_hash;permite_venda;permite_comissao;cest;venda_ler_vendedor;combo_variavel;customizavel;escala;fabricante_cnpj;fabricante_benef;sem_gtin;perc_glp;perc_gnv_nacional;perc_gnv_importado;valor_partida;unid_med_trib;fator_conversao_trib;codigo_nutricional;fabricado_venda;aplicacao;info;km_trocar;grupo_id;subgrupo_id;marca;desconto_percentual;ad_rem;ref_zedelivery;p_biocombustivel;p_origem;indicador_importacao;codigo_uf_origem;setor_id;imprime_ficha;observacao;alto_em_acucar_adicionado;alto_em_gordura_saturada;alto_em_sodio;hash
7077;7891991295055;7891991295055;CERV CORONA EXTRA LT 350ML;CERV CORONA EXTRA 350ML;753;;2;2;;5.99;5.99;UN;A;T;600002;2203.00.00;;4;0;4;0;;;;;0;f;f;1;f;f;f;1085621;;;1;0;;;;0;;V001FAECF1343B16C15F989C7CE62171654005;t;f;301200;t;f;f;f;;;f;0;0;0;0;UN;;10335;f;;;;;753;;0;0;;0;100;0;;2;f;;f;f;f;
5849;7891991297431;7891991297431;CERV SPATEN MUNICH PURO MALTE LT 350ML 12PACK.;CERV SPATEN MUNICH PURO 350ML 12PACK;753;;2;5;;6.59;6.59;PK;A;T;600002;2203.00.00;;4;0;4;0;;;;;0;f;t;1;f;f;f;1085098;;;1;0;;;;0;;V001CD42F40BD35ED09332D98CBA42FCAC55B8;t;f;302100;t;f;f;f;;;f;0;0;0;0;UN;;6878;f;;;;;753;;0;0;;0;100;0;;2;f;;f;f;f;
4197;7891991015493;7891991015493;CERV ANTARCTICA ORIGINAL LT 350ML;CERV ANTARCTICA ORIG 350ML;753;;2;2;;5.99;5.99;UN;A;T;600002;2203.00.00;;4;0;4;0;;;;;0;f;t;1;f;f;f;1049071;;;1;0;;;;0;;V001ABAA54E75D358B40F17589FC67A5ACFD4F;t;f;301200;t;f;f;f;;;f;0;0;0;0;UN;;4796;f;;;;;753;;0;0;;0;100;0;;2;f;;f;f;f;
6266;24741439;24741439;PROMO 3 BRAHMA DUPLO MALTE 350 ML, POR R$11,97 (3 UNIDADES);PROMO 3 BRAHMA DUPLO MALTE 350 ML;753;;4;4;;11.97;11.97;UN;A;T;;;;4;0;4;0;;;;;0;f;f;1;f;f;f;1095692;;;1;0;;;;0;;V001BC14642368B5837228CBB72CD634E250D2;t;f;;t;t;f;f;;;t;0;0;0;0;UN;;7435;f;;;;;753;;0;0;;0;100;0;;2;f;;f;f;f;
946;7891991006088;7891991006088;CERV BOHEMIA PILSEN LT 350ML;CV BOHEMIA LATA 350ML;753;;2;2;;4.8;4.8;UN;A;T;600002;2203.00.00;;4;0;4;0;;;;;0;f;t;1;f;f;f;373;;;1;0;;;;0;;V0014E675218DB2A8484DAC5F7615290AFB528;t;f;301200;t;f;f;f;;;f;0;0;0;0;UN;;9616;f;;;;;753;;0;0;;0;100;0;;2;f;;f;f;f;
7051;7898367983790;7898367983790;CERV EISENBAHN PILSEN LT 350ML;CERV EISENBAHN PILS 350ML;753;;2;2;;5.29;5.29;UN;A;T;600002;2203.00.00;;4;0;4;0;;;;;0;f;t;1;f;f;f;161987;;;1;0;;;;0;;V001963396015B00B809B579AE501A37E1EA8B;t;f;302100;t;f;f;f;;;t;0;0;0;0;UN;;10168;f;;;;;753;;0;0;;0;100;0;;2;f;;f;f;f;
395;7891149210503;7891149210503;CERV CARACU LT 350ML;CV CARACU LT 350ML;753;207;2;2;;5.79;5.79;UN;A;T;600002;2203.00.00;;4;0;4;0;;;;;0;f;t;1;f;f;f;421;;;1;0;;;;0;;V001E42820A46667AFC3FFDBC09AB20FC3516B;t;f;301200;t;f;f;f;;;f;0;0;0;0;UN;;9295;f;;;;;753;;0;0;;0;100;0;;2;f;;f;f;f;
5295;7891149109746;7891149109746;CERV SKOL PURO MALTE LT 350ML;CERV SKOL PURO MALTE 350ML;753;;2;2;;3.99;3.99;UN;A;T;600002;2203.00.00;;4;0;4;0;;;;;0;f;t;1;f;f;f;1060040;;;1;0;;;;0;;V0016EE26D13E066AD70C1476337F6BBDC67B5;t;f;302100;t;f;f;f;;;f;0;0;0;0;UN;;6157;f;;;;;753;;0;0;;0;100;0;;2;f;;f;f;f;
3069;796;7891991000796;CERV ANTARCTICA LT 350ML;CV ANTARCT LT 350ML;753;;2;2;;4.99;4.99;UN;A;T;600002;2203.00.00;;4;0;4;0;;;;;0;f;t;1;f;f;f;395;;;1;0;;;;0;;V001F9C86868A6211E8377C847765BC300A512;t;f;302100;t;f;f;f;;;f;0;0;0;0;UN;;8398;f;;;;;753;;0;0;;0;100;0;;2;f;;f;f;f;
358;509;7891149010509;CERV BRAHMA CHOPP LT 350ML;CERV BRAHMA CHOP 350ML;753;207;2;2;;4.99;4.99;UN;A;T;600002;2203.00.00;;4;0;4;0;;;;;0;f;t;1;f;f;f;401;;;1;0;;;;0;;V001C17CD1B838D0631094E75FFA1DB3F29ABF;t;f;301400;t;f;f;f;;;f;0;0;0;0;UN;;8410;f;;;;;753;;0;0;;0;100;0;;2;f;;f;f;f;
